Puzzle,Answer
"ABOUT, LOGIN, HOME, CONTACT, SHED, SCRATCH, KNEAD, PURR, RETREAT, LEAVE, FLEE, WITHDRAW, CREAM, COTTAGE, GOAT, STRING","['about, login, home, contact', 'shed, scratch, knead, purr', 'retreat, leave, flee, withdraw', 'cream, cottage, goat, string']"
"ACE, CRACKERJACK, HOTSHOT, EXPERT, JOKER, HER, SIGNS, GLADIATOR, JACK, WRENCH, TIRE, CHOCK, POPCORN, RAPTURE, SOULMATE, ROCKETRY","['ACE, CRACKERJACK, HOTSHOT, EXPERT', 'JOKER, HER, SIGNS, GLADIATOR', 'JACK, WRENCH, TIRE, CHOCK', 'POPCORN, RAPTURE, SOULMATE, ROCKETRY']"
"ACES, NEATO, NIFTY, KEEN, HEAD, LATHER, FOAM, FROTH, GROW, SWELL, MOUNT, BUILD, GLOBE, BUBBLE, MARBLE, PEARL","['ACES, NEATO, NIFTY, KEEN', 'HEAD, LATHER, FOAM, FROTH', 'GROW, SWELL, MOUNT, BUILD', 'GLOBE, BUBBLE, MARBLE, PEARL']"
"ADD, DIVIDE, SUBTRACT, MULTIPLY, SKATE, TANG, SOLE, TETRA, FLY, MOTH, GNAT, WASP, COPY, ALLEY, COOL, LAP","['ADD, DIVIDE, SUBTRACT, MULTIPLY', 'SKATE, TANG, SOLE, TETRA', 'FLY, MOTH, GNAT, WASP', 'COPY, ALLEY, COOL, LAP']"
"ADDRESS, FIELD, HANDLE, ANSWER, PARK, YARD, GREEN, LAWN, CAR, JAW, SWINGER, GOODFELLA, HARVARD, LEMON, NATURAL, CRIMINAL","['ADDRESS, FIELD, HANDLE, ANSWER', 'PARK, YARD, GREEN, LAWN', 'CAR, JAW, SWINGER, GOODFELLA', 'HARVARD, LEMON, NATURAL, CRIMINAL']"
"ADIEU, TEMPS, PAIN, BELLE, SLATE, PROGRAM, SCHEDULE, BILL, AUDIO, GAMES, NEWS, COOKING, FORTUNE TELLER, CRANE, AIRPLANE, FAN","['ADIEU, TEMPS, PAIN, BELLE', 'SLATE, PROGRAM, SCHEDULE, BILL', 'AUDIO, GAMES, NEWS, COOKING', 'FORTUNE TELLER, CRANE, AIRPLANE, FAN']"
"AFGHAN, YAK, ANGORA, ALPACA, JABBER, BLATHER, CHAT, GAB, PUMA, JORDAN, CONVERSE, VANS, SPEECH, WATER, LEAD, TRIAL","['AFGHAN, YAK, ANGORA, ALPACA', 'JABBER, BLATHER, CHAT, GAB', 'PUMA, JORDAN, CONVERSE, VANS', 'SPEECH, WATER, LEAD, TRIAL']"
"AIR, QUALITY, MOOD, FEELING, FRESH, CUTE, WISE, SMART, PRINCE, MERMAID, TRAMP, RASCALS, BEL, BAR, LUX, MOLE","['AIR, QUALITY, MOOD, FEELING', 'FRESH, CUTE, WISE, SMART', 'PRINCE, MERMAID, TRAMP, RASCALS', 'BEL, BAR, LUX, MOLE']"
"ANT, MANTIS, BEETLE, TERMITE, SQUASH, CRICKET, POLO, FENCING, TEE, TANK, CAMI, HALTER, CARROT, CORN, ONION, BEET","['ANT, MANTIS, BEETLE, TERMITE', 'SQUASH, CRICKET, POLO, FENCING', 'TEE, TANK, CAMI, HALTER', 'CARROT, CORN, ONION, BEET']"
"AWFUL, SUPER, VERY, QUITE, PINT, CUP, GALLON, QUART, REAL, WON, RAND, STERLING, CARROT, SPONGE, COFFEE, POUND","['AWFUL, SUPER, VERY, QUITE', 'PINT, CUP, GALLON, QUART', 'REAL, WON, RAND, STERLING', 'CARROT, SPONGE, COFFEE, POUND']"
